appid,short_description
50,Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play.
51,"RoboBlitz&trade; is a humorous, physics-based action game full of inventive gizmos, weapons, characters, and environments. Players take on the role of Blitz, a multi-talented robot who must activate an aging Space Cannon to save his world from a band of maladjusted space pirates."
52,"Silverfall, a once glorious city, lies in the fantastical Kingdom of Nelwë, where the forces of Technology and Nature are strongly opposed. Symptoms of this terrible conflict have begun to manifest physically as melded cyberbiologic organics and living steam-driven automatons."
53,"Construct the city of the 21st Century with City Life! City Life 2008 Edition is a next-generation City Builder. Its 3D game engine provides a level of detail and animation unprecedented in the City Builder genre, with total freedom of construction."
54,"The U.S. Army is the most powerful ground force in the entire world. The backbone of a ground invasion is the U.S. Army Infantry, and in the midst of combat, their skills, courage, and teamwork are put to the test. While readiness continues to be the U.S. Army's top priority, how it goes about its business is changing."
55,A fast paced multiplayer shooter that pits aliens against humans in a strategic and action-packed struggle for survival!
56,"Shank is the cult-classic revival of the sidescrolling beat-em-up. Play as Shank in an over-the-top grindhouse game, packed to the rim with enemies, bosses, combos, and more by the award-winning team at Klei Entertainment."
57,"FlatOut is adrenaline-filled muscle car racing game packed with explosive physics, spectacular effects and graphics, innovative game play mechanics and good old fun! Eight players or AI cars on track for close pack racing Single player Career, Quick race and Time trial modes Multiplayer mayhem with up to 8 players 16 different fully..."
58,"The Longest Journey is an amazing graphical adventure, where the player controls the protagonist, April Ryan, on her journey between parallel universes."
59,"Bloodline Champions is a Free-to-Play online PvP Arena game where players engage in short, intense battles of up to ten players divided into two teams. Each player takes control over one of several bloodlines, each with their own unique weapons and abilities. Easy to learn, challenging to master."
60,"Your world...Your rules! In Just Cause, you are a Latin field operative and specialist in regime change backed by top secret US government agency who will overthrow the corrupt government of San Esperito."
61,"Nu Earth: a poisoned planet where endless war rages between the Norts and the Southers. A futile struggle on a hostile planet with no end in sight. But there are tales of a lone warrior. A man who knows no allegiance, the Rogue Trooper!"
62,"In X-Blades, the player takes on the role of the enchanting heroine Ayumi, who survives a breathtaking dance of blades through the Hordes of Darkness. The long-haired beautiful anime, with her pistol blades and mind-blowing leaps, whirls and swirls from one fantastic level to the next."
63,"While the bloody battle between Gandohar’s troops and the armies of the Orcs is raging in front of the gates of Oswaroth, the emperor waits in the depths of his palace on the outcome of the struggle for power."
64,"Sid Meier's Railroads! marks the return of the watershed title in simulation/strategy gaming that launched the popular &quot;tycoon&quot; genre, and inspired a new generation of games. Sid Meier's Railroads!"
65,"Railroad Tycoon 3 features 25 scenarios challenging players to recreate magnificent feats of railroading history from around the world. Players can lay track (including tunnels and overpasses), pick from over 40 locomotives from early steams to modern bullets, choose to haul over 35 types of cargo in a dynamic economy, and participate in..."
66,"Experience one war through two epic sagas where you will be a part of history or change it. Feel the power of the historically authentic and decisive battles of the Pacific War. Relive some of the grandest and most critical naval battles of recent history and for the first time, choose to lead your fleet to a completely different ending..."
67,Dive into an adrenaline-fuelled free-roaming adventure with 400 square miles of rugged terrain and hundreds of weapons and vehicles.
68,"EVE Online is a community-driven spaceship MMO where players can play free, choosing their own path from countless options. Experience space exploration, immense PvP and PvE battles, mining, industry and a thriving player economy in an ever-expanding sandbox."
69,"UpdateSimBin Studios expands the hit racing game, RACE 07 with the Andy Priaulx Crowne Plaza Raceway free add-on. Free for owners of RACE 07, this add-on features a brand new island track and new cars from triple World Champion Andy Priaulx in his BMW 320si WTCC and Fabrizio Giovanardi in his Vauxhall Vectra VXR.Real Cars, Real Racing..."
70,"Indebted to the wrong people, with his life on the line, veteran of the U.S. Cavalry and now hired gun, Booker DeWitt has only one opportunity to wipe his slate clean. He must rescue Elizabeth, a mysterious girl imprisoned since childhood and locked up in the flying city of Columbia."
71,"From a distant corner of the galaxy, an evil alien race sets in motion a sinister plan to conquer the Earth. They unleash a powerful catalyst — Energy X — that imbues the planet's worst miscreants with super-powers to bring the planet to its knees. Now Earth's only hope lies with a new breed of heroes... The Freedom Force!"
72,"World War II rages and nations fall. SS head Himmler has Hitler's full backing to twist science and the occult into an army capable of annihilating the Allies once and for all. Battling alone, you're on an intense mission to pierce the black heart of the Third Reich and stop Himmler -- or die trying."
73,"A massive demonic invasion has overwhelmed the Union Aerospace Corporation's (UAC) Mars Research Facility, leaving only chaos and horror in its wake. As one of only a few survivors, you must fight your way to hell and back against a horde of evil monsters."
74,"The Four Horsemen of the Apocalypse lurk in the shadows before you. They are Death, Pestilence, Famine, and War. They are the root of all that is evil. They are the least of your worries. The last know Serpent Rider, Eidolon, lives."
75,"Powered by id’s revolutionary id Tech® 5 technology, RAGE is an intense first-person shooter with breakneck vehicle combat, an expansive world to explore, and jaw-dropping graphics!"
76,"For a thousand years, three opposing forces have waged war for what they believe is true. There can be no room for compromise: their way is the only way. Dubbed The Infinite War, this devastating conflict has taken its toll on a once-peaceful galaxy and has only served to deepen the hatred between the factions."
77,"Saints Row 2 brings true freedom to open-world gaming. Players can play as who they want, how they want, and with whomever they want in this sequel to the much acclaimed and tremendously successful Saints Row."
78,"Gish isn't your average hero. In fact, he's not your average anything...you see, Gish is a ball of tar. A Sunday stroll with his lady friend, Brea, goes awry when a shadowy figure emerges from an open manhole and pulls Brea below ground."
79,"Grab your cape and defend Millennium City in this comic book-style action MMORPG! Design your hero and costume from thousands of costume pieces, face super-villains like Dr. Destroyer, and create your own unique nemesis."
80,"In Star Trek Online, the Star Trek universe appears for the first time on a truly massive scale. Players take the captain's chair as they command their own starship and crew. Explore strange new worlds, seek out new life and new civilizations, and boldly go where no one has gone before."
81,"The UnderGarden is a casual Zen game that challenges players to explore beautiful underground caverns filled with strange life forms, sound, music and plenty of hidden secrets. Casual gamers with an affinity towards puzzle games will enjoy The UnderGarden’s modern exploration quest filled with brain teasing games that combine state of..."
82,"The remote hotel stands atop an ominous snow-peaked mountain, and death permeates every inch of the place. A crime has been committed here obviously, and the remote nature of the retreat means that the culprit is still roaming the halls. Which of the guests is capable of this? Whose past hides sinister truths and who has the most to gain?"
83,"Dracula: Origin reveals the dark origins of the Dracula curse. Once the ardent defender of Christendom, Dracula loses his faith in God when he is abandoned by his one true love after she marries. Dracula then makes a pact with the Prince of Darkness, and becomes a vampire."
84,"Recognized as one of the best licenses in adventure gaming and lauded by the international press, Sherlock Holmes is back with an investigation that is sure to be the most horrifying of the series. In this great new adventure, the famous detective chases against the most threatening serial killer England has ever known - Jack the Ripper."
85,"Surviving is only half the game. The award-winning atmosphere and gameplay mechanics of the original Shadowgrounds make a triumphant return in this spin off/sequel armed with a slick new feature set! Shadowgrounds Survivor tells the story of the last remaining humans on Jupiter's moon Ganymede, where the alien onslaught is in full force."
86,"On December 7, 1941, a major part of the U.S. Pacific navy stationed at Pearl Harbor was assaulted by Japanese planes. Japanese fighters were destroying American aircraft on land and in the air, without giving them a chance for a counterattack. The furious battle of Pearl Harbor became the first in the sequence of gory sea combats."
87,"Pacific Storm: Allies expands upon the success of the internationally acclaimed original to deliver an unforgettable mix of real-time strategy and blistering arcade combat, recreating World War II's most heated battles."
88,"Obulis can literally be learned in seconds, but the puzzles will keep you thinking for hours."
89,"Larva Mortus is a fast-paced action horror game that has you hunting monsters of the supernatural in a dark and ominous atmosphere full of undead, terrifying and demonic nightmares."
90,"Chains is a challenging puzzle game with a unique feel and distinctive vector graphics style. The object of the game is simple - to link adjacent bubbles of the same color into chains. As you progress through the physics-driven stages it becomes increasingly more challenging and players' speed, strategy and skill will be put to the test."
91,"Develop your own hospital drama and manipulate the results to your best advantage! In charge of a rapidly expanding hospital, your job is to cure the patients with your army of doctors and nurses while successfully managing the facilities and taking care of everyone's needs."
92,"Welcome to Liberty City. Where it all began. With stellar voice acting, a darkly comic storyline, a stunning soundtrack and revolutionary open-world gameplay, Grand Theft Auto III is the game that defined the open world genre for a generation."
93,"Max Payne is a man with nothing to lose in the violent, cold urban night. A fugitive undercover cop framed for murder, hunted by cops and the mob, Max is a man with his back against the wall, fighting a battle he cannot hope to win."
94,Drive dozens of varied vehicles around three of America's toughest cities. Only the best will be able to tame the fastest cars. Only the smartest will know all the short-cuts and the whereabouts of the hottest wheels. Only the toughest will be able to take on the world and finish the job like a professional...
95,"Grand Theft Auto is back. The cars are faster. The streets are busier. The bad guys are nastier. The police are angrier. And now, the FBI and the Army are getting involved... Seven ruthless gangs are involved in a ruthless power struggle and it is up to you to make a name for yourself. Respect is earned, not given."
96,"What does the American dream mean today? For Niko Bellic fresh off the boat from Europe, it is the hope he can escape from his past. For his cousin, Roman, it is the vision that together they can find fortune in Liberty City, gateway to the land of opportunity."
97,A shadow of evil has fallen on the kingdom of Ancaria. It is a time for champions - a time to journey into the perilous world of SACRED. Battle blood-thirsty orcs &amp; lumbering ogres... Destroy undead wizards &amp; rotting mummies... Slay hellish demons &amp; legendary dragons.
98,"Colonial England. Under a certain amount of duress... Jack takes on a job, which will not only cause him a great deal of trouble, but also bring to light the answer to a mystery out of his distant past. A lack of money leads Jack to accept a charter to take a British secret agent to mysterious 'Tooth Island'."
99,"Big Score is based around a classic story of police vs. criminals in a fight for a big score. The fantastic action will leave you breathless and will pump-up your adrenaline while you are rescuing your ball, trying to hit that last glowing target."
100,"The Caribbean in the 17th Century - Trade with over 60 towns, create your own production facilities, expand your trading empire and influence the development of the New World. As pirates and military fleets threaten your trade convoys, you'll need escort ships."
101,"Are you ready to build the Greatest Midway on Earth? Summer nights, flashing lights, stomach churning rides, girls and guys all combine to make the perfect carnival. Attract them, thrill them, feed them, frighten them, and leave them yearning for more! Run your own traveling carnival."
102,Drakensang is a third-person party-based RPG based on the pen &amp; paper role-play rules of The Dark Eye. Drakensang is the first PC game for over 10 years to be based on Germany's most successful and popular role-play system. Drakensang builds on the pen &amp; paper rules as applied in version 4.0.
103,"As the King of Iolcus, Jason had everythinga prosperous kingdom, the respect of his peers, and a beautiful fiancé. When she was killed on their wedding day, he vowed to do anything to restore her life. Now, in order to accomplish this heroic feat Jason must seek out the Golden Fleece -- and with the help of Greek mythology's greatest..."
104,"Evolving the shooter genre with its unique and exhilarating combination of fluid action and combat, Damnation features huge, open environments, frenetic combat, daredevil acrobatics and high-octane vehicle-based stunts."
105,"Overlord II, sequel to the critically acclaimed cult hit, sees the return of the chaotic Minions and their new Dark Master. Bigger, badder and more beautifully destructive, Overlord 2 has a Glorious Empire to smash, a massive Netherworld to revive, Minion mounts to mobilize, a trio of mistresses to woo, War Machines to crush opposition..."
106,"Download AA3 Today and Become a Member of the elite America's Army Team! America's Army fans and new players alike can now experience America's Army 3, the official U.S. Army game."
107,"Your prison ship has crash-landed on the fastest, sleekest, most dangerous 3D world ever created. Look around, crystal clear water shimmers, shadows dance and shift, alien architecture fades into the horizon."
108,"Witness the amazing evolution of the genre-defining strategy game as it becomes a next-generation phenomenon, melding classic deep fantasy with next-generation visuals and gameplay. In the renowned Might &amp; Magic universe, demon swarms spread chaos over the land in a relentless assault."
109,"You can't save the whole world. It's going to be eaten by a mythological demon with the head of a fish. But as a puppet that absorbs all it touches, you can try to rescue as much of Earth's greatness as you can before the end arrives. In the beginning, you roam the Earth, capable of absorbing only the tiniest of objects."
110,"BASE jump through a floating city, creating your own stunts to delight your fans. Use quick reflexes to negotiate the intricate tangle of girders that make up the floating city. Flip protesters off for points!"
111,82 remastered levels from the original and 43 brand new ones that are twice as fast!
112,"Have a down-home good time at Little Farm, where you'll use your puzzle-solving and matching skills to help The Normans adjust to farm life and grow truck-loads of vegetables! The Normans left the city to retreat to Uncle Nate's farm&#151;but this isn't a farm of leisure!"
113,"When Samantha's new benefactor asks her to track down Alexander the Great's Scroll of Wealth, the opportunity seems too be good to be truesearching for the scroll while collecting amazing finds for the Museum of Secrets Lost!"
114,"Inspired by the fascinating story and unbreakable spirit of British secret agent Violette Szabo, players take control of Violette Summer, a beautiful World War II spy deep behind enemy lines with no support or official backing from the British Government."
115,"All creatures of ancient myth, legend and lore are real  they've just been sealed away for thousands of years inside Pandora's Box, waiting... When a thief named Deckard is hired to steal an ancient artifact, he unwittingly triggers a war between man and myth."
116,"Adapt to Survive  An epic story thrusts players into an ever-changing environment, forcing them to adapt their tactics and approach to conquer battlefields ranging from newly frozen jungle to zero-gravity alien environments. Suit up!  A high-tech Nanosuit allows gamers to augment their abilities in real time on the battlefield."
117,Chase or Be Chased. You never thought it would turn out like thisan all-out chase where you're the hunted. And the hunter. Now you must get behind the wheel and risk everything to infiltrate a ruthless international crime syndicate and take them down.
118,"As Commander Shepard, you lead an elite squad on a heroic, action-packed adventure throughout the galaxy. Discover the imminent danger from an ancient threat and battle the traitorous Saren and his deadly army to save civilization. The fate of all life depends on your actions!"
119,"Only the Dead Survive. A massive deep-space mining ship goes dark after unearthing a strange artifact on a distant planet. Engineer Isaac Clarke embarks on the repair mission, only to uncover a nightmarish blood bath  the ship's crew horribly slaughtered and infected by alien scourge."
120,Explore war-torn post-apocalyptic landscapes and take fight against enemies using various weapons in this FPS/RTS hybrid.
121,"For uncounted years, DeathSpank has been a Dispenser of Justice, a Vanquisher of Evil, and a Hero to the Downtrodden. DeathSpank has long searched for a powerful artifact called….The Artifact. Forged by unknown hands for unknown purposes some unknown time in the past, The Artifact is now within DeathSpank’s reach. What is The Artifact?"
122,Roesha is a downloadable co-op character who helps DeathSpank in both his battles and his adventure. Enjoy 50% off both the game and DLC!
123,Defend the solar system from fearsome aliens by sending satellites into orbit in revolutionary tower defense action!
124,"Spectraball combines elements of platforming, puzzle solving, addictive gameplay, and stunning visuals to deliver an experience that sets a new standard for the genre. In addition, Spectraball utilizes Steamworks, offering full support for achievements and stat tracking."
125,"Crazy Machines 2 is packed with all new features to help you create your wackiest &quot;Rube Goldberg-style&quot; contraptions yet! All new elements, plus an amazing 3D physics engine lets you craft even more complex gadgets and effects."
126,"Turn the crank, rotate the gears, push the levers, Use the catapult, explode it, or fly it...From grilling sausages with a pulley, gears, rubberbands and a candle to firing a cannon with a basketball, these wacky brain-teasers will light up your imagination with creative and addictive fun."
127,"And Yet It Moves is a puzzle-platformer, set in a unique world, made of ripped paper. Within the paper-collage you can jump, run and last but certainly not least: rotate the world. Learn how to apply the physical consequences of rotation to master the many tricky situations you may encounter."
128,"Zero Gear is physically-fueled, online multiplayer kart combat madness. Deck out your kart and character before jumping into one of many different game modes. Outrageous kinematic gameplay and weapons make every round a blast. The potential for tiny vehicular mayhem has never been so humongous!"
129,"In Silent Hill Homecoming, Alex Shepherd has returned to his hometown of Shepherd's Glen to investigate the sudden disappearance of his brother. From Shepherd's Glen to the foggy streets of Silent Hill, Alex will face the darkest of horrors while struggling with his own grip on reality."
130,Enter the dark and savage lands of the Ashurin Empire as you battle to avenge the atrocities the Empire brought upon your tribesmen. On your heroic quest to topple the Empire you will fight fierce beasts and battle hardened warriors in this new Puzzle RPG hybrid game.
131,Tank Universal creates a huge virtual 'Tron-like' world where you take part in immense 3D tank battles involving scores of units both friendly and not so friendly in wide open levels! Players can bombard the enemy from a distance or close the gap and dodge shells point blank - all in an immersive first person perspective.
132,"JOIN THE REVOLUTION! Lured to Mars by the Ultor Corporation's promise of a better life, thousands have come to seek their fortune and work for the massive mining company. But all is not as it seems. A deadly plague is sweeping through the barracks, and miners suffer daily abuse at the hands of the Ultor guards."
133,"Twenty-second century Earth. Five years after the rebellion on Mars. For the last 15 years, Sopot, the corrupt dictator, has oppressed the people of the Commonwealth. His relentless pursuit of unification with the neighboring United Republic has left the country soaked in unnecessary bloodshed and poverty."
134,"Moonpod's Starscape mixes old school arcade game play values with characterization and an involving plot to deepen the whole experience. With most of its crew missing and its weapons systems ruined, the space research station Aegis is all but lost."
135,"Asimov is a lowly service mechanoid aboard the interstellar colony ship Eidolon. Carrying hundreds of frozen human colonists to a new world. When the Eidolon's computer brain malfunctions, it falls to Asimov to undertake a perilous journey through the bowels of the massive ship to save his robot friends and the precious human cargo. Mr."
136,"Shatter is a retro-inspired brick-breaking game that merges familiar action with unique twists and a modern crafted production approach. Innovative controls, physics effects, power-ups, special attacks, and boss battles which combine to provide an experience that is always interactive."
137,Experience the original F.E.A.R. along with F.E.A.R. Extraction Point and F.E.A.R. Perseus Mandate. Available Now!
138,"F.E.A.R. 3 delivers all the hallmarks that define the F.E.A.R. brand: terrifying paranormal experience, frenetic combat and a dramatic storyline."
139,"The first true sequel to the classic 1988 Nintendo Entertainment System original, Bionic Commando sees the return of the bionically-enhanced Nathan &quot;R.A.D.&quot; Spencer. Time has not been kind to Spencer: Five years after his heroic defeat of the Imperials, he has been betrayed by the government he swore to serve, imprisoned for..."
140,World of Goo is a multiple award winning physics based puzzle / construction game made entirely by two guys.
141,"Calradia is a land at war, offering great riches and even greater dangers to adventurers and mercenaries that flock to shed their blood on its soil. With courage and a strong sword, an unknown stranger can make a name as a warrior. Free-form sand-box gameplay."
142,"Penumbra: Overture is a first person survival horror game, emphasizing on survival and problem solving instead of mindless violence and gore."
143,Zeno Clash is an action/fighting game set in a punk fantasy world. The game is played from a first person perspective and the combat is generally up close and brutal. Experience a deep storyline set in a fantastic world.
144,"A rock-solid combination of rock-rolling action, deep strategy, and captivating art and music from different ages of history, this is a game of crush or be crushed!"
145,"Vault-Tec engineers have worked around the clock on an interactive reproduction of Wasteland life for you to enjoy from the comfort of your own vault. Included is an expansive world, unique combat, shockingly realistic visuals, tons of player choice, and an incredible cast of dynamic characters."
146,"Rogue Warrior is a character-driven, first-person-shooter, featuring Richard 'Demo Dick' Marcinko's explosive personality in an action-packed single player campaign, and intense multiplayer combat. Playing as Richard 'Demo Dick' Marcinko, you go behind the iron curtain to disrupt a suspected North Korean ballistic missile program."
147,You decide the combat role you want to assume in the world of Brink as you fight to save yourself and mankind’s last refuge!
148,"Ten years on from Worms™ Armageddon and the turn-based comic mayhem continues in Worms™ Reloaded, an all-new edition available for PC through Steam."
149,"The city builder strategy game Imperium Romanum is set in the time-honoured Roman Empire and players will marvel in the incredible attention to detail when working on a strategy to build a well organised, prosperous and commanding settlement. As governor of a Roman province, the fortune very much lies in the players own hands."
150,"Depths of Peril is a single player action RPG (role-playing game) with strong strategy elements. You play as a faction leader protecting the barbarian city, Jorvik, by destroying threatening monsters and completing quests. At the same time, you compete with rival factions to see who will rule the city."
151,"Welcome to the lost age of chivalry, where magic and myth is alive, and you are destined to be one of the living legends: Arthur, the son of Uther Pendragon, the Once and Future King of the prophecies. Fulfill your destiny and claim your rightful place on the throne of Britannia."
152,"Aquaria is an award-winning action-adventure game set in a massive underwater world teeming with life and filled with ancient secrets. Join Naija, a lone underwater adventurer, as she travels from hidden caves shrouded in darkness, to beautiful, sunlit oases in search of her past."
